begin	end	occ_power_gpu.0.direct_sample	occ_power_gpu.0.energy	occ_power_gpu.0.power_from_energy	occ_power_gpu.0.timestamp	occ_power_gpu.0.update_tag	occ_power_gpu.1.direct_sample	occ_power_gpu.1.energy	occ_power_gpu.1.power_from_energy	occ_power_gpu.1.timestamp	occ_power_gpu.1.update_tag	occ_power_mem.0.direct_sample	occ_power_mem.0.energy	occ_power_mem.0.power_from_energy	occ_power_mem.0.timestamp	occ_power_mem.0.update_tag	occ_power_mem.1.direct_sample	occ_power_mem.1.energy	occ_power_mem.1.power_from_energy	occ_power_mem.1.timestamp	occ_power_mem.1.update_tag	occ_power_proc.0.direct_sample	occ_power_proc.0.energy	occ_power_proc.0.power_from_energy	occ_power_proc.0.timestamp	occ_power_proc.0.update_tag	occ_power_proc.1.direct_sample	occ_power_proc.1.energy	occ_power_proc.1.power_from_energy	occ_power_proc.1.timestamp	occ_power_proc.1.update_tag	occ_power_proc_vdd.0.direct_sample	occ_power_proc_vdd.0.energy	occ_power_proc_vdd.0.power_from_energy	occ_power_proc_vdd.0.timestamp	occ_power_proc_vdd.0.update_tag	occ_power_proc_vdd.1.direct_sample	occ_power_proc_vdd.1.energy	occ_power_proc_vdd.1.power_from_energy	occ_power_proc_vdd.1.timestamp	occ_power_proc_vdd.1.update_tag	occ_power_proc_vdn.0.direct_sample	occ_power_proc_vdn.0.energy	occ_power_proc_vdn.0.power_from_energy	occ_power_proc_vdn.0.timestamp	occ_power_proc_vdn.0.update_tag	occ_power_proc_vdn.1.direct_sample	occ_power_proc_vdn.1.energy	occ_power_proc_vdn.1.power_from_energy	occ_power_proc_vdn.1.timestamp	occ_power_proc_vdn.1.update_tag	occ_power_system_bulk.0.direct_sample	occ_power_system_bulk.0.energy	occ_power_system_bulk.0.power_from_energy	occ_power_system_bulk.0.timestamp	occ_power_system_bulk.0.update_tag	taurus.EC08.PDU1.outlet8.power	taurus.EC08.PDU2.outlet4.power	taurus.taurusml5.power	taurus.taurusml5.ps0.power	taurus.taurusml5.ps1.power	experiment	thread_count	frequency	ddcm	utility
60732175437500	120245427718750	115.167	10399.7	115.273	4.63323e+10	180640	114.139	10286.3	114.159	4.63352e+10	180651	20.9167	1953.54	20.9809	4.63323e+10	180640	20.9722	1949.63	20.9808	4.63352e+10	180651	93.3056	8793.18	92.942	4.63323e+10	180640	72.3611	7696.86	72.3263	4.63352e+10	180651	35.5278	3518.51	36.0117	4.63323e+10	45160	24.75	3212.96	25.0044	4.63352e+10	45162.8	22.9167	2064.32	22.9394	4.63323e+10	45160	23.5	2132.03	23.5426	4.63352e+10	45162.8	458.306	43104.8	458.308	4.63323e+10	180640	304.143	344.714	459.571	296.429	337	4	0	1	100	3.59631e+07
120245629328125	180247401443359	115.972	17330.8	115.815	7.70524e+10	300411	114.778	17151	114.68	7.7057e+10	300429	20.9444	3212.5	20.9845	7.70524e+10	300411	20.9444	3208.37	20.9763	7.7057e+10	300429	110.222	14917.3	109.95	7.70524e+10	300411	73.5	12081.2	73.1091	7.7057e+10	300429	50.6667	6163.56	51.0182	7.70524e+10	75102.8	25.3611	4750.69	25.5826	7.7057e+10	75107.2	23	3443.64	23	7.70524e+10	75102.8	23.9167	3555.37	23.9208	7.7057e+10	75107.2	478.167	71250.5	477.896	7.70524e+10	300411	301.143	347.571	478	306.143	347	4	0	1	100	7.19041e+07
180247693640625	240249419484375	116.222	24299.8	116.295	1.07775e+11	420191	115	24046.6	115.009	1.07779e+11	420207	20.9722	4471.62	20.9851	1.07775e+11	420191	20.9444	4466.73	20.9671	1.07779e+11	420207	123.611	21941	123.571	1.07775e+11	420191	72.4722	16476.5	72.6783	1.07779e+11	420207	61.4722	9561.19	61.7699	1.07775e+11	105048	25.3333	6295.32	25.2518	1.07779e+11	105052	23	4823.65	23.0001	1.07775e+11	105048	23.9722	4991.15	23.9516	1.07779e+11	105052	491.583	100389	491.704	1.07775e+11	420191	310.714	357.143	493.286	314.571	355	4	0	1	100	1.04032e+08
240249658027343	300251445693359	115.611	31249.8	115.448	1.38496e+11	539967	114	30915.5	114.027	1.38501e+11	539984	21	5730.33	20.9715	1.38496e+11	539967	20.8889	5723.99	20.9389	1.38501e+11	539984	139.972	29888.2	139.916	1.38496e+11	539967	72.1389	20889.2	72.1054	1.38501e+11	539984	76.4167	13736.7	76.3028	1.38496e+11	134992	25.0833	7866.09	24.96	1.38501e+11	134996	23	6203.64	22.9999	1.38496e+11	134992	23.4444	6418.89	23.5811	1.38501e+11	134996	506.833	130444	506.449	1.38496e+11	539967	318.571	364.571	505.429	323.857	362	4	0	1	100	1.40001e+08
300251651398437	360253480259765	114.944	38163.8	115.038	1.69218e+11	659747	113.306	37732.7	113.271	1.69221e+11	659756	20.8889	6988.31	20.962	1.69218e+11	659747	20.9722	6979.4	20.9116	1.69221e+11	659756	150.5	38638.7	150.448	1.69218e+11	659747	71.7778	25223.5	71.7981	1.69221e+11	659756	85.5833	18620.3	85.3485	1.69218e+11	164937	24.7778	9376.46	24.8326	1.69221e+11	164939	23	7583.64	22.9987	1.69218e+11	164937	23.4444	7826.53	23.3686	1.69221e+11	164939	515.139	161142	515.032	1.69218e+11	659747	326.286	371.429	515.286	328	366.857	4	0	1	100	1.71976e+08
360253842919921	420255477154296	114.5	45052.5	114.649	1.99938e+11	779518	112.472	44505.7	112.601	1.99941e+11	779529	20.8611	8245.85	20.9548	1.99938e+11	779518	20.8611	8232.96	20.8779	1.99941e+11	779529	167.167	48184.8	166.841	1.99938e+11	779518	71.3333	29579.5	71.6355	1.99941e+11	779529	99.75	24190.8	99.4449	1.99938e+11	194879	25.0833	10918.1	24.9311	1.99941e+11	194882	23	8963.53	22.9996	1.99938e+11	194879	23.2778	9224.61	23.2891	1.99941e+11	194882	530	192564	530.039	1.99938e+11	779518	332.286	377.143	529.857	337	375.571	4	0	1	100	2.07956e+08
420255724771484	480257653816406	115.278	51942.8	115.13	2.30657e+11	899284	113.194	51272.3	113.121	2.30661e+11	899300	21	9503.1	20.9571	2.30657e+11	899284	20.9167	9485.11	20.8646	2.30661e+11	899300	178.25	58552.7	178.281	2.30657e+11	899284	72.2222	33900.9	72.2363	2.30661e+11	899300	108.139	30443.1	108.439	2.30657e+11	224821	26.3889	12434.9	25.4235	2.30661e+11	224825	23	10343.5	23.0001	2.30657e+11	224821	23.7222	10632.1	23.6151	2.30661e+11	224825	543.25	224777	543.453	2.30657e+11	899284	338.714	384.143	544.286	344.429	382	4	0	1	100	2.39902e+08
480257919535156	540259528164062	115.75	58865.7	115.646	2.61379e+11	1.01906e+06	113.639	58076.3	113.649	2.61384e+11	1.01908e+06	20.9167	10760.7	20.9602	2.61379e+11	1.01906e+06	20.8056	10736.9	20.8544	2.61384e+11	1.01908e+06	195.778	69788.2	195.789	2.61379e+11	1.01906e+06	72	38263.8	71.9345	2.61384e+11	1.01908e+06	123.417	37404.4	123.211	2.61379e+11	254765	25.5833	13985.6	25.1469	2.61384e+11	254771	23	11723.9	23.0154	2.61379e+11	254765	23.7778	12056.6	23.8121	2.61384e+11	254771	562.25	257995	561.872	2.61379e+11	1.01906e+06	347.571	393.286	562.857	355.286	393.143	4	0	1	100	2.7588e+08
540259771275390	600261693367187	116.361	65826.5	116.354	2.92101e+11	1.13884e+06	114.111	64912.4	114.18	2.92106e+11	1.13886e+06	20.9722	12018.4	20.9645	2.92101e+11	1.13884e+06	20.8333	11987.6	20.8342	2.92106e+11	1.13886e+06	207.444	81902	207.614	2.92101e+11	1.13884e+06	71.8889	42602.1	71.9696	2.92106e+11	1.13886e+06	132.806	45088.3	132.647	2.92101e+11	284710	25.0278	15511.1	25.0199	2.92106e+11	284714	23.4444	13111.6	23.3492	2.92101e+11	284710	23.9444	13488.8	23.9399	2.92106e+11	284714	575.333	292143	575.287	2.92101e+11	1.13884e+06	357.286	402.857	575.571	362	403.857	4	0	1	100	3.07808e+08
600261931509765	660263564744140	116.611	72825.3	116.69	3.22822e+11	1.25862e+06	114.278	71774.2	114.324	3.22826e+11	1.25863e+06	21	13276.4	20.9618	3.22822e+11	1.25862e+06	20.8056	13237.1	20.8021	3.22826e+11	1.25863e+06	221.833	94805.9	221.938	3.22822e+11	1.25862e+06	72.6389	46969.9	72.2003	3.22826e+11	1.25863e+06	144.083	53412	144.381	3.22822e+11	314654	25.0833	17055.6	25.2437	3.22826e+11	314658	23.5833	14525.5	23.5992	3.22822e+11	314654	23.9722	14926.8	23.9314	3.22826e+11	314658	591.389	327210	590.914	3.22822e+11	1.25862e+06	365.143	411.857	591.714	370.714	410.857	4	0	1	100	3.43775e+08
660263936207031	720265574355468	115.444	79790.9	115.587	3.53544e+11	1.37839e+06	113.306	78599.4	113.287	3.53547e+11	1.3784e+06	20.9167	14533.2	20.9356	3.53544e+11	1.37839e+06	20.6111	14482.2	20.7039	3.53547e+11	1.3784e+06	237.556	108627	237.408	3.53544e+11	1.37839e+06	71.6389	51330.9	71.5799	3.53547e+11	1.3784e+06	156.944	62484.3	156.832	3.53544e+11	344598	25.3611	18611.1	25.0136	3.53547e+11	344601	23.3056	15933.5	23.3448	3.53544e+11	344598	23.5278	16352	23.5492	3.53547e+11	344601	603.889	363120	603.494	3.53544e+11	1.37839e+06	372.286	420.857	604	378	419.429	4	0	1	100	3.79614e+08
720265976552734	780267655314453	115.056	86710.7	115.136	3.84264e+11	1.49816e+06	112.333	85371	112.451	3.84267e+11	1.49818e+06	20.9722	15788.8	20.9176	3.84264e+11	1.49816e+06	20.6111	15723	20.6579	3.84267e+11	1.49818e+06	242.167	123024	242.299	3.84264e+11	1.49816e+06	71.9167	55670.3	71.6672	3.84267e+11	1.49818e+06	160.639	72014.1	160.718	3.84264e+11	374541	25.1111	20155.6	25.184	3.84267e+11	374544	23.1667	17328	23.1192	3.84264e+11	374541	23.3056	17758.4	23.3317	3.84267e+11	374544	606.667	399483	607.067	3.84264e+11	1.49816e+06	377.429	427	607.571	379.714	422.429	4	0	1	100	4.08105e+08
780268091867187	840269625160156	115.194	93612.1	115.034	4.14985e+11	1.61794e+06	112.083	92101.5	112.145	4.14989e+11	1.61796e+06	20.8889	17043.1	20.8989	4.14985e+11	1.61794e+06	20.5	16961.3	20.6173	4.14989e+11	1.61796e+06	245.333	137642	245.547	4.14985e+11	1.61794e+06	70.9167	59986.2	71.2256	4.14989e+11	1.61796e+06	162.806	81711.9	162.941	4.14985e+11	404484	24.8333	21684.4	24.8967	4.14989e+11	404489	23.3333	18714.8	23.217	4.14985e+11	404484	23.3056	19156.4	23.3352	4.14989e+11	404489	609.361	435980	609.439	4.14985e+11	1.61794e+06	378.429	429	610.429	380.571	423.571	4	0	1	100	4.35861e+08
