reported recalculated kernel uses_mem
458.308 436.662 4 0
477.896 455.5149 4 0
491.704 469.5055 4 0
506.449 483.4068 4 0
515.032 492.4287 4 0
530.039 507.5592 4 0
543.453 520.59 4 0
561.872 538.8331 4 0
575.287 551.9163 4 0
590.914 566.9162 4 0
603.494 579.5014 4 0
607.067 583.1287 4 0
609.439 585.4678 4 0
617.488 593.3468 4 0
624.694 600.4116 4 0
625.964 601.2313 4 0
627.349 602.2342 4 0
623.001 598.402 4 0
623.312 598.7219 4 0
620.134 595.5667 4 0
618.845 594.9294 4 0
628.97 603.6218 4 0
648.565 620.5334 4 0
655.153 629.1996 4 0
669.116 642.8449 4 0
682.082 653.3565 4 0
699.891 673.0264 4 0
715.645 686.522 4 0
733.182 705.3625 4 0
741.823 714.6043 4 0
756.714 728.3502 4 0
763.138 735.9761 4 0
781.238 753.587 4 0
792.481 764.3535 4 0
801.206 772.8974 4 0
807.846 779.31 4 0
807.348 778.6663 4 0
806.36 777.1851 4 0
808.372 779.7097 4 0
811.234 782.7525 4 0
812.942 784.38 4 0
817.352 788.3755 4 0
809.48 780.5058 4 0
813.401 784.4561 4 0
460.475 438.6417 14 1
478.375 455.9682 14 1
494.57 472.5618 14 1
515.077 492.0669 14 1
529.421 506.6373 14 1
548.029 524.5661 14 1
557.567 534.4179 14 1
574.705 551.3401 14 1
587.451 564.2643 14 1
606.225 582.2809 14 1
619.985 595.8495 14 1
624.219 600.018 14 1
630.301 604.9005 14 1
633.262 607.7576 14 1
634.901 609.0433 14 1
633.121 607.4606 14 1
638.432 612.1009 14 1
639.822 612.9957 14 1
641.924 614.288 14 1
637.092 610.6102 14 1
634.123 607.8801 14 1
627.958 602.4856 14 1
650.115 622.8745 14 1
664.272 638.5516 14 1
686.001 659.7817 14 1
695.741 670.4965 14 1
714.016 686.2493 14 1
721.817 696.5522 14 1
740.853 716.1714 14 1
757.2 731.8037 14 1
776.124 752.364 14 1
792.03 767.7458 14 1
798.33 774.4319 14 1
802.358 778.3822 14 1
808.238 784.4258 14 1
814.242 789.9568 14 1
821.606 796.3147 14 1
826.312 801.0835 14 1
827.481 802.4796 14 1
824.507 799.1621 14 1
823.486 797.6923 14 1
823.501 797.296 14 1
824.543 797.3631 14 1
827.372 800.0738 14 1
465.705 443.3216 5 0
481.472 459.5636 5 0
493.128 471.4338 5 0
509.573 487.2015 5 0
523.382 501.3098 5 0
544.451 521.6046 5 0
559.274 536.2602 5 0
579.034 556.1056 5 0
589.239 565.8365 5 0
601.3 577.9675 5 0
