input_sum occ_sum
633.429 458.308
653.143 477.896
669.571 491.704
685.857 506.449
694.857 515.032
712.571 530.039
726.429 543.453
748.429 561.872
765.857 575.287
781.571 590.914
797.429 603.494
802.143 607.067
804.142 609.439
812.571 617.488
821.143 624.694
822.143 625.964
821.571 627.349
819.285 623.001
818.286 623.312
815.714 620.134
814.857 618.845
823.857 628.97
846.429 648.565
857 655.153
871.714 669.116
882.858 682.082
904 699.891
918.715 715.645
938.142 733.182
947.286 741.823
961 756.714
969.715 763.138
987.857 781.238
995.857 792.481
1005.571 801.206
1012.714 807.846
1016.142 807.348
1011 806.36
1012.715 808.372
1015.715 811.234
1018.858 812.942
1021.428 817.352
1014.715 809.48
1017.143 813.401
638 460.475
655.286 478.375
673.286 494.57
696 515.077
712.857 529.421
734 548.029
744.143 557.567
765 574.705
780.285 587.451
801 606.225
817.429 619.985
821.571 624.219
826 630.301
830.571 633.262
836.142 634.901
830.142 633.121
835.143 638.432
838.143 639.822
836.572 641.924
836 637.092
833.429 634.123
825.286 627.958
848 650.115
866 664.272
888.286 686.001
901.571 695.741
918 714.016
929.285 721.817
948.429 740.853
964.857 757.2
984.857 776.124
999.428 792.03
1007 798.33
1010.286 802.358
1018.143 808.238
1022.286 814.242
1030.428 821.606
1034 826.312
1036.572 827.481
1032 824.507
1031 823.486
1029.714 823.501
1029.143 824.543
1033.714 827.372
642 465.705
658.714 481.472
670.714 493.128
688.714 509.573
704.714 523.382
728.285 544.451
744.572 559.274
767.285 579.034
780.428 589.239
796.285 601.3
796 602.477
805.857 610.403
821.143 625.006
822.285 626.819
820 622.74
815.143 619.252
811.714 616.364
813.857 619.373
820.715 621.008
816 620.248
814.714 618.415
809.714 614.311
825.714 629.092
842.143 643.324
862.286 661.045
880.286 679.225
902.571 698.722
918.286 714.932
933.142 728.458
945.143 739.532
960.714 756.124
974.428 769.497
986.143 779.899
990.571 787.245
1003.142 796.638
1000.857 795.133
1000 794.122
998.857 794.387
1002.429 796.144
1006.857 801.625
1008.715 802.602
1003.428 797.551
997.571 792.852
995 789.74
637.286 460.617
658.143 480.296
674.715 496.215
696.857 516.367
709.857 526.691
727.572 542.275
742.715 553.571
765 574.132
781.714 589.419
802 607.776
819.429 623.166
814.143 619.625
821.143 624.205
829.143 633.624
832.428 637.46
844.715 646.686
844.142 643.285
846.714 648.471
842.572 646.433
840.286 640.89
844.429 645.337
841.571 644.315
864.571 661.948
881.572 678.883
896.429 691.459
907.572 700.751
926 719.454
941.571 732.863
962.714 755.531
978.857 768.984
995.143 788.791
1004.571 796.352
1017 808.136
1019 813.989
1028.714 823.942
1040.714 837.001
1045.714 843.473
1045.285 843.984
1044.572 845.216
1041.715 842.796
1046.428 847.888
1048.714 853.691
1054.571 858.52
1053.143 856.656
637.858 461.982
653.715 477.291
666.285 488.395
688.286 510.082
703.286 522.716
725.572 543.178
737 552.943
756.142 568.638
766.714 577.633
785.429 593.557
803.571 609.359
804.857 611.361
818.143 622.188
817.857 623.733
817 622.508
811.428 617.115
816.285 621.765
816.857 621.823
822.714 625.409
827.143 629.529
816.429 620.357
814 617.551
839 640.613
852 651.963
872.857 670.401
884.857 685.004
904 700.952
914.429 711.63
931.857 726.499
944 737.996
965.572 758.385
977.571 772.424
995.429 788.082
994 787.898
1000.429 794.763
1004.143 795.447
1009.143 802.775
1011.714 805.57
1015.429 808.679
1016 810.462
1011.143 806.813
1010.857 806.838
1000.572 797.825
1010 806.236
638.858 462.847
660.143 484.101
672.143 494.505
690.571 510.604
702.143 521.796
725.714 541.453
742.286 557.003
765.714 577.16
783.714 592.047
798.572 604.995
812.143 616.474
810.857 615.536
821.143 625.541
828.429 633.101
837.286 639.809
837.143 636.681
837.715 638.053
831.715 632.466
829.857 633.738
835.572 636.906
833.857 637.033
840 642.764
858.858 656.284
870.142 666.659
889.428 685.643
904.571 698.625
926.428 720.921
941.857 733.676
961.143 754.699
970.428 763.641
988.286 779.64
998.143 790.046
1013.286 805.55
1019.428 809.167
1031.571 822.364
1034.286 824.168
1034.286 825.043
1033.857 826.491
1036.572 827.939
1039 830.992
1044 835.601
1048.285 838.783
1039.143 831.372
1044.714 835.601
636.714 460.737
657.143 480.277
674.857 496.917
697.715 517.872
716.714 533.778
734.428 549.623
746.428 560.756
767.714 578.266
787 594.33
806.857 612.221
816.285 620.932
819.429 624.224
832.429 632.876
826 629.503
826.428 631.417
828.142 630.841
832.857 635.515
835.571 637.2
837.857 638.792
828.714 632.042
823.857 625.076
825.857 625.8
850.714 651.457
865 662.83
888.286 685.257
900.428 694.439
917.571 711.422
929.571 722.547
950.429 742.541
967.429 759.528
989.143 780.356
1003.715 793.47
1008.143 796.478
1009 800.505
1017.571 806.857
1023.285 813.103
1026.714 819.6
1028 819.054
1030.429 821.49
1025.857 817.915
1023.857 815.832
1023.572 815.605
1026 816.947
1029.286 820.626
