#sensor_value	delta_value	duration_ns	duration_samples
535000000	8000000	40075856	9346
537000000	2000000	80149507	18685
539000000	2000000	40076850	9348
540000000	1000000	40076815	9341
537000000	3000000	40072983	9325
535000000	2000000	40075354	9347
537000000	2000000	120224636	28010
539000000	2000000	40075478	9341
541000000	2000000	40074942	9344
539000000	2000000	40075365	9341
537000000	2000000	40076966	9338
539000000	2000000	200375852	46675
541000000	2000000	40076237	9359
537000000	4000000	80151001	18726
541000000	4000000	40074186	9362
539000000	2000000	120226711	28103
537000000	2000000	40075374	9371
539000000	2000000	40073705	9374
537000000	2000000	40072468	9359
535000000	2000000	80153419	18733
537000000	2000000	40075186	9373
535000000	2000000	40075373	9364
537000000	2000000	40074077	9354
541000000	4000000	40074216	9351
539000000	2000000	40075504	9353
541000000	2000000	40076155	9353
537000000	4000000	40075647	9360
535000000	2000000	40076042	9391
537000000	2000000	40075346	9403
539000000	2000000	80149813	18789
537000000	2000000	40073812	9387
539000000	2000000	80152249	18799
537000000	2000000	80152222	18792
535000000	2000000	120223650	28146
533000000	2000000	40074252	9402
535000000	2000000	160300673	37566
537000000	2000000	40074830	9398
535000000	2000000	80151404	18770
537000000	2000000	40076805	9388
535000000	2000000	40074555	9391
532000000	3000000	40074915	9362
535000000	3000000	40076291	9396
532000000	3000000	120224941	28194
535000000	3000000	40075280	9367
533000000	2000000	40073593	9401
535000000	2000000	40075221	9401
533000000	2000000	80151255	18799
530000000	3000000	40076032	9403
528000000	2000000	40073418	9400
526000000	2000000	40076964	9401
528000000	2000000	40076426	9395
530000000	2000000	80148777	18783
533000000	3000000	80151169	18790
530000000	3000000	40074274	9397
537000000	7000000	40076993	9386
533000000	4000000	40072342	9387
530000000	3000000	40078342	9401
532000000	2000000	40072364	9402
543000000	11000000	40077716	9383
530000000	13000000	80150665	18767
533000000	3000000	40075735	9387
535000000	2000000	80147294	18771
530000000	5000000	80151626	18774
533000000	3000000	40077658	9383
535000000	2000000	40073005	9397
533000000	2000000	40077505	9383
530000000	3000000	40071834	9391
528000000	2000000	40077575	9382
530000000	2000000	40075897	9380
528000000	2000000	40073401	9390
533000000	5000000	40077963	9358
532000000	1000000	40072942	9387
535000000	3000000	40075470	9387
530000000	5000000	40078643	9388
528000000	2000000	40072049	9384
530000000	2000000	40075551	9387
532000000	2000000	80151308	18787
530000000	2000000	80148435	18768
533000000	3000000	40075499	9391
537000000	4000000	40077180	9386
535000000	2000000	40073284	9378
537000000	2000000	40077668	9385
535000000	2000000	40074214	9369
532000000	3000000	40076662	9380
533000000	1000000	40072669	9385
530000000	3000000	40074455	9371
533000000	3000000	40077907	9382
532000000	1000000	40073909	9383
533000000	1000000	80149062	18752
535000000	2000000	40077858	9377
530000000	5000000	120222742	28165
533000000	3000000	40077158	9383
532000000	1000000	40076306	9389
530000000	2000000	160300559	37580
532000000	2000000	120225433	28141
537000000	5000000	40072874	9386
533000000	4000000	80151268	18769
530000000	3000000	40074417	9384
533000000	3000000	40077987	9375
532000000	1000000	40074729	9367
533000000	1000000	40074815	9380
537000000	4000000	80152022	18758
535000000	2000000	160298579	37518
532000000	3000000	40075055	9371
530000000	2000000	40075407	9384
533000000	3000000	80149769	18785
535000000	2000000	80151120	18766
533000000	2000000	40076370	9372
535000000	2000000	40075906	9384
532000000	3000000	40074989	9387
