#acc_value	delta_value	duration_ns	duration_samples
14099062405204	42735	40074047	3714
14099062447816	42612	40074503	3719
14099062490460	42644	40074833	3717
14099062533002	42542	40080778	3717
14099062575658	42656	40064194	3712
14099062618291	42633	40087621	3714
14099062660932	42641	40068495	3711
14099062703559	42627	40080879	3711
14099062746237	42678	40069847	3710
14099062788891	42654	40072285	3714
14099062831505	42614	40080815	3714
14099062874123	42618	40072671	3713
14099062916827	42704	40074983	3713
14099062959464	42637	40079953	3716
14099063002219	42755	40074097	3712
14099063044886	42667	40074442	3713
14099063087608	42722	40071321	3712
14099063130196	42588	40075565	3712
14099063172805	42609	40077170	3708
14099063215311	42506	40077161	3714
14099063257895	42584	40076076	3709
14099063300460	42565	40069286	3716
14099063343030	42570	40079602	3714
14099063385859	42829	40079675	3719
14099063428628	42769	40072613	3716
14099063471156	42528	40079163	3721
14099063513735	42579	40068141	3713
14099063556365	42630	40081958	3712
14099063598948	42583	40069034	3714
14099063641452	42504	40076186	3714
14099063683992	42540	40068518	3713
14099063726510	42518	40085993	3715
14099063769077	42567	40072983	3713
14099063811553	42476	40076455	3715
14099063854032	42479	40070275	3716
14099063896469	42437	40083144	3713
14099063938900	42431	40066186	3714
14099063981339	42439	40082743	3713
14099064023769	42430	40068179	3711
14099064066211	42442	40075942	3714
14099064108668	42457	40077666	3712
14099064151166	42498	40072386	3715
14099064193655	42489	40066911	3710
14099064236157	42502	40083777	3717
14099064278817	42660	40075864	3714
14099064321494	42677	40075602	3712
14099064364119	42625	40069140	3710
14099064406784	42665	40080731	3712
14099064449484	42700	40079289	3694
14099064492057	42573	40073190	3716
14099064534580	42523	40074579	3715
14099064577038	42458	40076143	3717
14099064619423	42385	40068460	3712
14099064661854	42431	40080166	3717
14099064704258	42404	40075106	3716
14099064746589	42331	40083155	3714
14099064788945	42356	40065520	3710
14099064831394	42449	40083694	3714
14099064873853	42459	40064229	3714
14099064916188	42335	40085205	3715
14099064958596	42408	40064298	3711
14099065000949	42353	40087614	3717
14099065043287	42338	40068073	3713
14099065085655	42368	40072868	3714
14099065128056	42401	40076344	3712
14099065170406	42350	40077872	3704
14099065212730	42324	40074428	3710
14099065255098	42368	40079725	3717
14099065297567	42469	40064585	3712
14099065339922	42355	40087851	3713
14099065382314	42392	40062912	3710
14099065424671	42357	40081498	3718
14099065467048	42377	40076038	3714
14099065509432	42384	40080863	3714
14099065551808	42376	40065966	3713
14099065594177	42369	40081122	3716
14099065636538	42361	40072065	3718
14099065678893	42355	40073200	3712
14099065721305	42412	40075063	3719
14099065763696	42391	40084367	3719
14099065806134	42438	40066278	3710
14099065848542	42408	40078344	3712
14099065890927	42385	40075200	3713
14099065933322	42395	40079350	3714
14099065975654	42332	40070067	3712
14099066018041	42387	40077185	3716
14099066060452	42411	40076317	3713
14099066102870	42418	40077383	3716
14099066145240	42370	40067145	3713
14099066187619	42379	40082319	3711
14099066230006	42387	40071950	3710
14099066272340	42334	40075891	3713
14099066314719	42379	40075360	3712
14099066357151	42432	40078639	3713
14099066399579	42428	40070358	3713
14099066441940	42361	40078751	3714
14099066484330	42390	40074621	3715
14099066526772	42442	40072603	3713
14099066569136	42364	40069987	3718
14099066611511	42375	40086189	3705
14099066653873	42362	40063417	3713
14099066696278	42405	40088551	3713
14099066738659	42381	40064200	3711
14099066780986	42327	40083219	3715
14099066823354	42368	40070278	3713
14099066865698	42344	40081313	3713
14099066908066	42368	40064509	3711
14099066950432	42366	40083430	3715
14099066992893	42461	40066165	3711
14099067035311	42418	40082820	3716
14099067077701	42390	40069599	3713
14099067120128	42427	40079983	3718
14099067162590	42462	40075637	3717
14099067204989	42399	40081344	3713
14099067247410	42421	40062085	3711
14099067289832	42422	40085780	3713
14099067332211	42379	40065901	3713
14099067374566	42355	40082914	3714
14099067416933	42367	40070384	3715
14099067459323	42390	40081648	3715
14099067501751	42428	40071398	3715
14099067544123	42372	40081434	3716
14099067586420	42297	40067241	3715
14099067628765	42345	40073821	3714
14099067671134	42369	40071545	3714
14099067713526	42392	40079464	3715
14099067755893	42367	40076494	3713
14099067798269	42376	40075970	3716
14099067840658	42389	40072162	3714
14099067883059	42401	40080118	3713
14099067925475	42416	40074612	3712
14099067967878	42403	40078596	3715
14099068010312	42434	40075030	3713
14099068052730	42418	40071957	3714
14099068095132	42402	40071710	3711
14099068137560	42428	40079839	3713
