#acc_value	delta_value	duration_ns	duration_samples
14099279038081	42831	40078063	10606
14099279080637	42556	40072478	10560
14099279123156	42519	40076403	10626
14099279165655	42499	40077349	10630
14099279208172	42517	40072925	10620
14099279250693	42521	40074335	10625
14099279293138	42445	40077657	10626
14099279335655	42517	40073981	10615
14099279378276	42621	40076290	10622
14099279421019	42743	40074431	10625
14099279463684	42665	40076765	10624
14099279506211	42527	40074696	10620
14099279548672	42461	40077987	10622
14099279591114	42442	40072212	10628
14099279633485	42371	40074650	10624
14099279675932	42447	40075905	10623
14099279718283	42351	40075009	10636
14099279760710	42427	40073350	10614
14099279803107	42397	40076666	10627
14099279845509	42402	40074299	10623
14099279887911	42402	40076784	10624
14099279930498	42587	40073400	10626
14099279972934	42436	40075999	10626
14099280015412	42478	40075118	10605
14099280057692	42280	40076980	10616
14099280099998	42306	40075002	10609
14099280142315	42317	40074115	10627
14099280184638	42323	40074055	10621
14099280226960	42322	40079775	10621
14099280269439	42479	40070859	10627
14099280311835	42396	40076719	10626
14099280354312	42477	40075001	10623
14099280396686	42374	40075454	10624
14099280439087	42401	40074655	10623
14099280481377	42290	40075896	10633
14099280523667	42290	40075618	10624
14099280565888	42221	40075644	10607
14099280608124	42236	40075290	10615
14099280650240	42116	40073907	10625
14099280692372	42132	40075130	10622
14099280734458	42086	40076331	10624
14099280776454	41996	40073300	10611
14099280818476	42022	40077059	10628
14099280860477	42001	40075122	10621
14099280902492	42015	40077505	10628
14099280944464	41972	40072199	10630
14099280986464	42000	40077674	10632
14099281028489	42025	40073359	10551
14099281070472	41983	40076264	10629
14099281112440	41968	40074007	10624
14099281154325	41885	40077581	10630
14099281196279	41954	40071667	10606
14099281238166	41887	40076036	10621
14099281280113	41947	40076214	10621
14099281322025	41912	40076974	10629
14099281363995	41970	40073413	10627
14099281405958	41963	40076526	10627
14099281447897	41939	40075113	10621
14099281489869	41972	40075592	10630
14099281531849	41980	40075558	10614
14099281573841	41992	40073739	10623
14099281615796	41955	40074861	10622
14099281657741	41945	40077290	10620
14099281699687	41946	40072889	10623
14099281741617	41930	40075613	10625
14099281783491	41874	40076151	10590
14099281825359	41868	40074044	10625
14099281867294	41935	40074101	10624
14099281909258	41964	40076161	10627
14099281951227	41969	40074665	10635
14099281993149	41922	40078790	10632
14099282035086	41937	40071839	10621
14099282077030	41944	40076524	10618
14099282119019	41989	40073513	10618
14099282160986	41967	40077304	10624
14099282202936	41950	40075315	10624
14099282244880	41944	40075558	10620
14099282286807	41927	40074265	10622
14099282328742	41935	40076258	10627
14099282370657	41915	40074833	10619
14099282412568	41911	40076511	10631
14099282454506	41938	40074675	10624
14099282496323	41817	40074272	10622
14099282538200	41877	40075339	10611
14099282580173	41973	40076495	10626
14099282622149	41976	40074712	10621
14099282664125	41976	40075974	10622
14099282706133	42008	40074380	10637
14099282748146	42013	40075102	10629
14099282790137	41991	40075616	10625
14099282832149	42012	40074687	10627
14099282874155	42006	40075526	10628
14099282916114	41959	40076171	10623
14099282958135	42021	40074097	10624
14099283000134	41999	40077032	10639
14099283042173	42039	40072396	10625
14099283084209	42036	40077321	10621
14099283126236	42027	40074540	10629
14099283168257	42021	40075074	10582
14099283210409	42152	40074283	10637
14099283252437	42028	40077238	10625
14099283294435	41998	40072192	10610
14099283336446	42011	40078780	10625
14099283378422	41976	40073211	10619
14099283420374	41952	40075026	10616
14099283462371	41997	40073608	10635
14099283504348	41977	40076888	10627
14099283546341	41993	40074413	10626
14099283588252	41911	40075519	10625
14099283630194	41942	40073702	10620
14099283672138	41944	40078460	10630
14099283714050	41912	40074294	10626
14099283755938	41888	40075635	10633
14099283797899	41961	40077623	10628
14099283839781	41882	40072432	10617
14099283881724	41943	40074134	10628
14099283923659	41935	40076355	10626
14099283965578	41919	40075188	10624
14099284007561	41983	40077222	10631
14099284049515	41954	40074657	10635
14099284091483	41968	40073477	10619
14099284133489	42006	40076375	10628
14099284175466	41977	40075690	10625
14099284217437	41971	40072163	10636
14099284259412	41975	40079976	10625
14099284301379	41967	40067245	10615
14099284343357	41978	40081540	10630
14099284385352	41995	40072229	10630
14099284427278	41926	40079987	10625
14099284469241	41963	40073723	10621
14099284511240	41999	40073971	10627
14099284553177	41937	40073839	10618
14099284595217	42040	40078179	10619
14099284637285	42068	40074282	10636
14099284679340	42055	40077022	10614
14099284721417	42077	40074921	10621
14099284763467	42050	40073204	10619
14099284805535	42068	40075447	10633
14099284847550	42015	40077957	10625
14099284889618	42068	40073755	10630
14099284931656	42038	40074656	10626
14099284973749	42093	40075138	10624
14099285015794	42045	40074842	10633
14099285057862	42068	40075718	10633
14099285099876	42014	40076854	10623
14099285141933	42057	40074730	10622
14099285183937	42004	40075843	10625
14099285226135	42198	40073712	10625
14099285268222	42087	40074323	10635
14099285310285	42063	40076431	10626
14099285352246	41961	40070630	10619
14099285394296	42050	40079503	10615
14099285436282	41986	40076174	10623
14099285478363	42081	40074316	10622
14099285520413	42050	40075427	10618
14099285562527	42114	40075444	10624
14099285604538	42011	40075149	10624
14099285646655	42117	40073771	10627
14099285688902	42247	40076063	10627
14099285731372	42470	40072451	10619
14099285773471	42099	40080051	10629
14099285815570	42099	40073343	10625
14099285857638	42068	40074159	10628
14099285899597	41959	40076833	10626
14099285941562	41965	40073351	10627
14099285983566	42004	40077179	10574
14099286025489	41923	40075084	10622
14099286067470	41981	40074904	10624
14099286109344	41874	40074647	10618
14099286151292	41948	40075523	10628
14099286193231	41939	40076538	10620
14099286235198	41967	40074321	10621
14099286277181	41983	40074251	10622
14099286319207	42026	40076327	10625
14099286361164	41957	40076622	10629
14099286403152	41988	40081495	10620
14099286445136	41984	40067785	10624
14099286487166	42030	40075415	10626
14099286529203	42037	40076509	10622
14099286571268	42065	40071741	10622
14099286613365	42097	40077255	10622
14099286655507	42142	40073598	10616
14099286697558	42051	40079177	10629
14099286739562	42004	40072281	10616
14099286781550	41988	40077524	10612
14099286823548	41998	40071776	10622
14099286865536	41988	40076685	10623
14099286907526	41990	40076548	10621
14099286949527	42001	40076296	10630
14099286991539	42012	40071782	10627
14099287033530	41991	40075751	10628
14099287075526	41996	40073814	10631
14099287117583	42057	40077815	10624
14099287159715	42132	40074161	10618
14099287201739	42024	40077600	10619
14099287243784	42045	40073199	10624
14099287285843	42059	40076186	10631
14099287327895	42052	40074660	10622
14099287369982	42087	40077458	10627
14099287412060	42078	40070758	10620
14099287454134	42074	40077361	10624
14099287496208	42074	40076278	10613
14099287538211	42003	40074444	10630
14099287580305	42094	40078837	10615
14099287622365	42060	40072251	10633
14099287664459	42094	40072808	10619
14099287706573	42114	40077282	10626
14099287748645	42072	40075825	10620
14099287790788	42143	40075284	10616
14099287832909	42121	40075043	10623
14099287874974	42065	40077516	10624
14099287917079	42105	40073066	10616
14099287959135	42056	40069647	10614
14099288001205	42070	40079476	10617
14099288043249	42044	40077743	10622
14099288085325	42076	40071841	10622
14099288127365	42040	40078682	10627
14099288169406	42041	40072359	10627
14099288211424	42018	40078491	10626
14099288253470	42046	40072302	10626
14099288295501	42031	40075922	10627
14099288337716	42215	40075658	10615
14099288379847	42131	40074997	10619
14099288422092	42245	40075679	10614
14099288464335	42243	40074571	10620
14099288506512	42177	40074569	10609
14099288548649	42137	40076460	10621
14099288590773	42124	40073734	10615
14099288632926	42153	40076530	10620
14099288675065	42139	40075987	10617
14099288717204	42139	40076321	10619
14099288759413	42209	40072064	10626
14099288801649	42236	40077640	10619
14099288843886	42237	40074214	10624
14099288886064	42178	40074573	10625
14099288928259	42195	40074813	10617
14099288970410	42151	40077884	10628
14099289012489	42079	40072196	10629
14099289054612	42123	40076775	10633
14099289096703	42091	40075497	10630
14099289138797	42094	40076571	10625
14099289180917	42120	40074974	10620
14099289223019	42102	40073470	10628
14099289265175	42156	40076397	10619
14099289307270	42095	40073511	10632
14099289349375	42105	40074786	10623
14099289391453	42078	40075892	10626
14099289433551	42098	40074473	10621
14099289475606	42055	40075982	10638
14099289517738	42132	40074112	10627
14099289559792	42054	40077241	10620
14099289601854	42062	40074751	10616
14099289643909	42055	40077902	10622
14099289685939	42030	40071590	10631
14099289728040	42101	40077562	10626
14099289770128	42088	40074950	10633
14099289812246	42118	40076765	10635
14099289854386	42140	40074395	10620
14099289896560	42174	40073683	10624
14099289938694	42134	40075845	10628
14099289980786	42092	40074381	10622
14099290022880	42094	40075167	10636
14099290064867	41987	40078081	10629
14099290106944	42077	40071203	10629
14099290148974	42030	40077995	10631
14099290191089	42115	40072415	10623
14099290233126	42037	40077040	10620
14099290275215	42089	40073514	10632
14099290317212	41997	40077558	10619
14099290359303	42091	40072702	10627
14099290401304	42001	40077761	10633
14099290443406	42102	40073327	10625
14099290485457	42051	40078210	10628
14099290527589	42132	40072812	10625
14099290569681	42092	40078059	10635
14099290611829	42148	40073484	10610
14099290653839	42010	40076276	10623
14099290695935	42096	40075165	10627
14099290737999	42064	40073907	10625
14099290780129	42130	40076542	10617
14099290822167	42038	40074927	10625
14099290864271	42104	40073900	10623
14099290906304	42033	40076557	10623
14099290948441	42137	40075759	10616
14099290990524	42083	40078823	10598
14099291032654	42130	40070421	10541
14099291074779	42125	40075905	10551
14099291116888	42109	40076191	10538
14099291158895	42007	40075386	10545
14099291200922	42027	40074682	10545
14099291242929	42007	40073474	10551
14099291285059	42130	40075921	10550
14099291327226	42167	40075891	10541
14099291369303	42077	40075757	10552
14099291411358	42055	40076576	10546
14099291453427	42069	40072764	10548
14099291495498	42071	40070460	10549
14099291537589	42091	40080659	10542
14099291579729	42140	40075505	10552
14099291621859	42130	40072796	10519
14099291663921	42062	40077440	10545
14099291706002	42081	40073931	10586
14099291748153	42151	40078716	10628
14099291790277	42124	40071927	10628
14099291832424	42147	40075288	10623
14099291874525	42101	40074698	10630
14099291916605	42080	40078050	10619
14099291958721	42116	40073917	10613
14099292000790	42069	40075482	10631
14099292042931	42141	40073407	10630
14099292085044	42113	40076807	10622
14099292127175	42131	40075782	10631
14099292169311	42136	40074068	10621
14099292211469	42158	40074356	10631
14099292253620	42151	40076343	10625
14099292295696	42076	40076179	10633
14099292337727	42031	40076782	10628
14099292379887	42160	40071806	10626
14099292421927	42040	40078913	10625
14099292464082	42155	40071179	10629
14099292506192	42110	40078819	10624
14099292548304	42112	40073755	10627
14099292590442	42138	40075936	10624
14099292632562	42120	40072427	10618
14099292674673	42111	40079034	10630
14099292716803	42130	40072187	10615
14099292758953	42150	40076136	10621
14099292801090	42137	40077260	10619
14099292843209	42119	40075306	10631
14099292885340	42131	40071372	10630
14099292927459	42119	40079187	10626
14099292969592	42133	40074555	10623
14099293011736	42144	40075829	10627
14099293053867	42131	40072218	10631
14099293095993	42126	40076497	10624
14099293138148	42155	40073220	10620
14099293180270	42122	40077136	10624
14099293222378	42108	40073598	10623
14099293264617	42239	40079443	10626
14099293306761	42144	40071140	10630
14099293348880	42119	40078410	10636
14099293391004	42124	40073476	10630
14099293433134	42130	40077003	10623
14099293475308	42174	40073400	10622
14099293517502	42194	40077135	10637
14099293559718	42216	40072943	10631
14099293601942	42224	40076089	10627
14099293644088	42146	40077315	10623
14099293686279	42191	40073185	10618
14099293728480	42201	40074710	10612
14099293770708	42228	40077456	10624
14099293812934	42226	40071688	10612
14099293855128	42194	40076978	10629
14099293897288	42160	40076077	10624
14099293939429	42141	40075395	10620
14099293981520	42091	40072746	10625
14099294023630	42110	40077506	10621
14099294065762	42132	40074917	10624
14099294107868	42106	40075242	10625
14099294150040	42172	40074852	10622
14099294192165	42125	40075706	10629
14099294234277	42112	40073429	10623
14099294276403	42126	40078532	10623
14099294318517	42114	40073511	10629
14099294360624	42107	40076063	10629
14099294402703	42079	40075894	10629
14099294444838	42135	40075354	10629
14099294486975	42137	40074187	10620
14099294529123	42148	40074327	10626
14099294571228	42105	40074693	10624
14099294613344	42116	40076307	10622
14099294655482	42138	40072796	10627
14099294697632	42150	40079046	10632
14099294739751	42119	40074206	10626
14099294781858	42107	40075696	10620
14099294823985	42127	40074447	10619
14099294866108	42123	40077356	10630
14099294908254	42146	40073115	10632
14099294950349	42095	40076125	10637
14099294992483	42134	40073616	10628
14099295034686	42203	40075320	10624
14099295076829	42143	40075438	10624
14099295119042	42213	40077853	10623
14099295161233	42191	40073768	10623
14099295203445	42212	40073687	10625
14099295245559	42114	40074571	10623
14099295287754	42195	40076693	10630
14099295329923	42169	40074575	10623
14099295372092	42169	40076538	10622
14099295414242	42150	40074816	10621
14099295456435	42193	40075809	10629
14099295498584	42149	40075120	10634
14099295540838	42254	40076325	10626
14099295583023	42185	40072837	10636
14099295625262	42239	40076068	10628
14099295667467	42205	40075911	10614
14099295709714	42247	40076093	10629
14099295751915	42201	40072762	10619
14099295794233	42318	40078913	10633
14099295836502	42269	40071009	10629
14099295878855	42353	40076284	10634
14099295921045	42190	40074753	10614
14099295963262	42217	40076841	10628
14099296005460	42198	40073146	10626
14099296047694	42234	40078858	10628
14099296089902	42208	40074569	10620
14099296132138	42236	40073371	10629
14099296174369	42231	40075647	10627
14099296217241	42872	40074609	10626
14099296259575	42334	40075700	10627
14099296301893	42318	40076466	10623
14099296344144	42251	40072151	10623
14099296386457	42313	40077888	10630
14099296428632	42175	40074014	10635
14099296470797	42165	40075318	10630
14099296512940	42143	40077087	10626
14099296555154	42214	40073327	10634
14099296597307	42153	40074157	10635
14099296639468	42161	40078892	10626
14099296681574	42106	40074258	10623
14099296723631	42057	40075279	10622
14099296765702	42071	40073643	10628
14099296807742	42040	40077306	10628
14099296849836	42094	40072286	10622
14099296891916	42080	40075933	10628
14099296933964	42048	40077407	10616
14099296976044	42080	40074876	10630
14099297018093	42049	40075444	10626
14099297060162	42069	40073698	10634
14099297102296	42134	40073832	10625
14099297144393	42097	40077254	10630
14099297186496	42103	40074132	10633
14099297228630	42134	40078118	10627
14099297270708	42078	40074744	10630
14099297312828	42120	40075622	10630
14099297354930	42102	40071636	10625
14099297397001	42071	40079583	10624
14099297439092	42091	40071249	10620
14099297481084	41992	40078405	10621
14099297523114	42030	40071450	10619
14099297565130	42016	40078757	10636
14099297607164	42034	40075509	10624
14099297649200	42036	40074817	10635
14099297691202	42002	40072329	10625
14099297733249	42047	40076241	10628
14099297775252	42003	40075050	10623
14099297817266	42014	40077743	10625
14099297859296	42030	40071476	10630
14099297901324	42028	40079968	10633
14099297943292	41968	40072007	10621
14099297985396	42104	40077718	10630
14099298027520	42124	40072483	10619
14099298069622	42102	40078817	10635
14099298111728	42106	40071156	10632
14099298153855	42127	40076598	10626
14099298195980	42125	40073665	10627
14099298238089	42109	40076907	10627
14099298280124	42035	40074070	10623
14099298322128	42004	40075868	10620
14099298364168	42040	40076255	10630
14099298406145	41977	40076501	10623
14099298448105	41960	40072255	10631
14099298490099	41994	40076632	10640
14099298532079	41980	40076877	10629
14099298574060	41981	40074744	10626
14099298616025	41965	40072627	10624
14099298658075	42050	40077386	10639
14099298700150	42075	40074029	10629
14099298742286	42136	40076122	10623
14099298784362	42076	40075524	10631
14099298826517	42155	40077163	10635
14099298868680	42163	40072497	10623
14099298910900	42220	40075589	10630
14099298953188	42288	40074103	10622
14099298995508	42320	40077339	10635
14099299037757	42249	40073059	10616
14099299080030	42273	40075990	10622
14099299122245	42215	40074893	10625
14099299164395	42150	40078019	10626
14099299206535	42140	40071741	10629
14099299248695	42160	40077200	10633
14099299290920	42225	40073790	10622
14099299333138	42218	40080251	10626
14099299375420	42282	40071593	10625
14099299417777	42357	40077054	10630
14099299460140	42363	40072374	10631
14099299502399	42259	40077530	10620
14099299544701	42302	40072392	10619
14099299586993	42292	40078196	10630
14099299629213	42220	40073470	10625
14099299671440	42227	40077612	10636
14099299713632	42192	40073304	10620
14099299755833	42201	40076141	10624
14099299798035	42202	40074587	10625
14099299840259	42224	40074845	10623
14099299882465	42206	40075388	10625
14099299924673	42208	40074575	10623
14099299966828	42155	40076958	10626
14099300008994	42166	40077061	10620
14099300051132	42138	40072935	10628
14099300093376	42244	40078516	10620
14099300135565	42189	40070423	10620
14099300177794	42229	40078564	10630
14099300220010	42216	40073849	10631
14099300262252	42242	40074223	10625
14099300304521	42269	40076335	10630
14099300346817	42296	40075923	10629
14099300389081	42264	40072195	10618
14099300431334	42253	40077539	10628
14099300473534	42200	40075119	10633
14099300515788	42254	40078219	10624
14099300557985	42197	40071486	10630
14099300600211	42226	40072727	10621
14099300642415	42204	40076376	10628
14099300684667	42252	40071476	10625
14099300726902	42235	40079229	10629
14099300769101	42199	40075995	10628
14099300811236	42135	40075757	10626
14099300853416	42180	40075566	10635
14099300895550	42134	40074530	10627
14099300937701	42151	40074942	10630
14099300979813	42112	40076576	10625
14099301022191	42378	40073653	10618
14099301064757	42566	40075316	10627
14099301107378	42621	40079412	10619
14099301149957	42579	40072820	10628
14099301192620	42663	40074554	10616
14099301235259	42639	40076440	10638
14099301278033	42774	40076354	10631
14099301320729	42696	40072101	10627
14099301363500	42771	40077997	10635
14099301406269	42769	40073724	10625
14099301449125	42856	40074097	10622
14099301491829	42704	40075944	10628
14099301534587	42758	40076804	10631
