#sensor_value	delta_value	duration_ns	duration_samples
533	4	40078063	10606
532	1	40072478	10560
533	1	40076403	10626
532	1	40077349	10630
535	3	40072925	10620
530	5	120225973	31866
533	3	160302182	42491
532	1	80150199	21250
530	2	80150555	21247
528	2	80148359	21250
526	2	40076666	10627
530	4	40074299	10623
533	3	80150184	21250
530	3	40075999	10626
535	5	40075118	10605
530	5	40076980	10616
526	4	80149117	21236
528	2	40074055	10621
530	2	160302354	42497
528	2	80150109	21247
524	4	40075896	10633
526	2	40075618	10624
530	4	40075644	10607
528	2	120224327	31862
526	2	40076331	10624
524	2	80150359	21239
521	3	40075122	10621
524	3	40077505	10628
522	2	40072199	10630
526	4	40077674	10632
524	2	40073359	10551
526	2	120227852	31883
524	2	40071667	10606
521	3	40076036	10621
524	3	120226601	31877
521	3	40076526	10627
526	5	40075113	10621
524	2	40075592	10630
526	2	40075558	10614
522	4	80148600	21245
526	4	40077290	10620
524	2	280523624	74349
526	2	80150629	21253
528	2	80150037	21236
524	4	240453533	63736
528	4	80151186	21255
526	2	80149611	21233
528	2	40076495	10626
530	2	40074712	10621
528	2	80150354	21259
530	2	40075102	10629
528	2	40075616	10625
526	2	80150213	21255
524	2	40076171	10623
526	2	40074097	10624
524	2	40077032	10639
526	2	120224257	31875
524	2	80149357	21219
526	2	40077238	10625
524	2	160299209	42470
526	2	40073608	10635
524	2	160300522	42498
521	3	40078460	10630
524	3	40074294	10626
528	4	40075635	10633
524	4	280527611	74389
526	2	120225542	31872
524	2	80152139	21261
526	2	40067245	10615
524	2	40081540	10630
521	3	80152216	21255
524	3	40073723	10621
526	2	120225989	31864
528	2	40074282	10636
530	2	40077022	10614
524	6	80148125	21240
528	4	80153404	21258
526	2	80148411	21256
528	2	40075138	10624
526	2	80150560	21266
524	2	40076854	10623
522	2	40074730	10622
526	4	120223878	31885
524	2	80147061	21245
521	3	40079503	10615
524	3	40076174	10623
526	2	80149743	21240
528	2	40075444	10624
526	2	40075149	10624
528	2	40073771	10627
535	7	40076063	10627
524	11	40072451	10619
526	2	40080051	10629
524	2	40073343	10625
521	3	80150992	21254
524	3	40073351	10627
526	2	80152263	21196
524	2	40074904	10624
522	2	40074647	10618
524	2	40075523	10628
521	3	40076538	10620
524	3	160301521	42497
522	2	40081495	10620
524	2	40067785	10624
526	2	120223665	31870
530	4	40077255	10622
526	4	40073598	10616
528	2	40079177	10629
524	4	80149805	21228
521	3	40071776	10622
524	3	240450876	63760
521	3	40077815	10624
522	1	80151761	21237
524	2	120224045	31877
526	2	240455136	63729
524	2	40072251	10633
528	4	40072808	10619
526	2	40077282	10626
530	4	80151109	21236
533	3	40075043	10623
528	5	40077516	10624
526	2	80142713	21230
524	2	40079476	10617
526	2	80149584	21244
528	2	40078682	10627
530	2	40072359	10627
533	3	40078491	10626
530	3	40072302	10626
528	2	40075922	10627
530	2	40075658	10615
528	2	40074997	10619
530	2	40075679	10614
526	4	40074571	10620
528	2	120224763	31845
526	2	40076530	10620
524	2	40075987	10617
526	2	120226025	31864
524	2	40074214	10624
525	1	40074573	10625
528	3	40074813	10617
526	2	40077884	10628
524	2	40072196	10629
526	2	80152272	21263
524	2	40076571	10625
528	4	40074974	10620
526	2	200374056	53128
528	2	120224567	31886
526	2	40077241	10620
528	2	40074751	10616
526	2	40077902	10622
524	2	40071590	10631
526	2	40077562	10626
524	2	40074950	10633
522	2	40076765	10635
526	4	120223923	31872
528	2	40074381	10622
526	2	40075167	10636
524	2	40078081	10629
522	2	40071203	10629
519	3	40077995	10631
522	3	40072415	10623
524	2	40077040	10620
522	2	40073514	10632
524	2	80150260	21246
526	2	120229298	31886
521	5	40072812	10625
524	3	40078059	10635
521	3	40073484	10610
524	3	40076276	10623
526	2	40075165	10627
