#sensor_value	delta_value	duration_ns	duration_samples
539	13	40074047	3714
530	9	40074503	3719
532	2	40074833	3717
530	2	160301088	14854
533	3	40080879	3711
535	2	80142132	7424
533	2	40080815	3714
535	2	80147654	7426
533	2	40079953	3716
530	3	80148539	7425
533	3	40071321	3712
530	3	40075565	3712
528	2	80154331	7422
530	2	80145362	7425
528	2	40079602	3714
544	16	40079675	3719
535	9	40072613	3716
532	3	40079163	3721
530	2	40068141	3713
532	2	40081958	3712
530	2	120213738	11141
535	5	120235431	11143
533	2	40070275	3716
530	3	40083144	3713
533	3	40066186	3714
530	3	80150922	7424
528	2	40075942	3714
533	5	80150052	7427
532	1	40066911	3710
533	1	40083777	3717
535	2	40075864	3714
533	2	40075602	3712
532	1	40069140	3710
533	1	80160020	7406
532	1	40073190	3716
530	2	40074579	3715
532	2	40076143	3717
530	2	40068460	3712
528	2	120238427	11147
530	2	120213443	11138
535	5	40085205	3715
530	5	40064298	3711
532	2	40087614	3717
528	4	80140941	7427
526	2	80154216	7416
528	2	40074428	3710
530	2	80144310	7429
533	3	80150763	7423
528	5	80157536	7432
535	7	40080863	3714
533	2	40065966	3713
530	3	40081122	3716
533	3	40072065	3718
535	2	40073200	3712
533	2	40075063	3719
530	3	40084367	3719
528	2	40066278	3710
532	4	40078344	3712
530	2	120224617	11139
533	3	40077185	3716
535	2	40076317	3713
530	5	40077383	3716
526	4	40067145	3713
530	4	40082319	3711
533	3	40071950	3710
530	3	160300248	14851
528	2	80153372	7429
530	2	40072603	3713
533	3	80156176	7423
532	1	40063417	3713
530	2	160306248	14852
533	3	40081313	3713
532	1	40064509	3711
535	3	40083430	3715
533	2	40066165	3711
535	2	80152419	7429
533	2	40079983	3718
532	1	40075637	3717
533	1	80143429	7424
532	1	80151681	7426
537	5	40082914	3714
535	2	40070384	3715
532	3	40081648	3715
528	4	40071398	3715
530	2	40081434	3716
526	4	40067241	3715
528	2	80145366	7428
535	7	40079464	3715
532	3	80152464	7429
526	6	40072162	3714
533	7	40080118	3713
530	3	80153208	7427
528	2	40075030	3713
532	4	40071957	3714
528	4	40071710	3711
535	7	40079839	3713
528	7	40077057	3714
533	5	40072711	3713
528	5	40072745	3713
532	4	40074153	3711
526	6	40077557	3711
537	11	40073851	3711
530	7	40072281	3710
533	3	40085988	3714
528	5	40070562	3717
533	5	40074333	3716
528	5	120228031	11145
530	2	80142226	7429
533	3	40082693	3720
530	3	160296835	14844
528	2	40072907	3712
530	2	200381291	18559
533	3	40074372	3722
528	5	40077569	3716
526	2	40067112	3715
524	2	40086051	3716
528	4	120220539	11117
530	2	40075102	3708
533	3	40072612	3709
532	1	40078756	3714
528	4	240453248	22278
530	2	40076227	3712
528	2	40071409	3709
530	2	40077426	3713
528	2	40077661	3712
530	2	120216031	11134
528	2	160302426	14849
526	2	40077030	3716
525	1	40081252	3715
526	1	40071954	3715
528	2	40073653	3712
526	2	40078325	3721
528	2	80149823	7425
526	2	120230031	11136
528	2	280525980	25987
533	5	40073366	3714
535	2	40074460	3715
532	3	120227503	11140
528	4	40077280	3714
530	2	160292536	14854
535	5	40072280	3713
533	2	40079733	3713
532	1	40071131	3711
530	2	40080960	3714
528	2	80156841	7425
530	2	40067346	3709
528	2	120224812	11135
530	2	40076638	3716
531	1	40075291	3714
526	5	40076987	3714
528	2	200374374	18564
530	2	80152966	7429
528	2	40074989	3714
526	2	40080332	3715
528	2	80149118	7426
526	2	40065745	3710
528	2	40077431	3710
530	2	40072795	3711
533	3	80151374	7427
530	3	40078229	3714
533	3	80151109	7423
530	3	120221832	11140
533	3	40085535	3714
530	3	40073405	3709
528	2	120228197	11140
530	2	80143578	7424
528	2	40074807	3712
530	2	80148870	7422
533	3	40085522	3714
528	5	40064112	3709
530	2	80150308	7421
528	2	40083055	3723
526	2	40068157	3718
528	2	40086004	3714
530	2	40061772	3713
532	2	40087167	3714
530	2	40063052	3714
528	2	40074025	3714
526	2	40082774	3711
530	4	40073751	3710
524	6	40070614	3714
528	4	80150649	7425
530	2	40083594	3716
528	2	40061634	3713
530	2	240459027	22268
528	2	40084274	3713
530	2	40069844	3714
528	2	160296702	14848
532	4	40072229	3712
530	2	40085002	3716
533	3	40078635	3715
530	3	40072288	3709
532	2	40070858	3711
533	1	40080471	3711
528	5	80150423	7426
532	4	80148109	7413
528	4	80152850	7429
530	2	40062941	3715
535	5	80163106	7429
530	5	40069575	3712
533	3	40080086	3717
532	1	40071704	3719
533	1	40074694	3711
528	5	40074977	3714
533	5	80154187	7428
535	2	40070948	3712
532	3	40071612	3712
535	3	40085639	3714
530	5	40070565	3713
528	2	120225439	11138
530	2	40078825	3712
533	3	40073182	3715
530	3	80150403	7425
528	2	40074306	3709
526	2	40073303	3712
528	2	40079487	3710
530	2	40074659	3714
535	5	40076748	3711
532	3	40078180	3711
530	2	40067990	3711
533	3	40076404	3714
532	1	40069009	3714
528	4	80150552	7423
533	5	40083920	3714
532	1	40068220	3714
530	2	160299849	14848
528	2	40078710	3712
526	2	80155327	7422
530	4	40068766	3710
528	2	120227600	11141
533	5	40074776	3712
535	2	40074780	3712
533	2	40081061	3716
530	3	80149919	7422
528	2	80143179	7429
530	2	80149618	7426
533	3	160300938	14855
530	3	40088691	3715
528	2	160293190	14857
539	11	40079319	3713
543	4	40068671	3709
539	4	80159761	7426
541	2	40067332	3712
537	4	40075874	3713
539	2	120223351	11141
541	2	40081206	3712
532	9	40068377	3711
530	2	40085276	3713
533	3	80146798	7425
535	2	120225979	11146
537	2	40075287	3714
535	2	80147046	7429
541	6	40069339	3711
533	8	40084858	3712
535	2	160298402	14852
537	2	40076013	3714
535	2	40069496	3712
533	2	40082956	3717
537	4	40075797	3714
535	2	40066665	3714
537	2	40086930	3716
535	2	160293368	14853
532	3	80155440	7429
537	5	40068544	3713
539	2	40082612	3714
537	2	160299541	14858
535	2	160296793	14850
537	2	80157037	7426
536	1	40067899	3715
535	1	160304149	14854
532	3	40078920	3712
537	5	40067508	3710
532	5	40083067	3713
535	3	80142322	7424
533	2	40076061	3714
535	2	40076120	3713
537	2	40078801	3711
535	2	40077450	3714
537	2	40069594	3712
539	2	40077045	3714
537	2	40069431	3714
535	2	40087313	3712
533	2	40071895	3713
535	2	80141118	7430
539	4	40084626	3715
537	2	40067315	3712
541	4	40076664	3712
543	2	40076034	3712
541	2	40080854	3711
535	6	40069606	3708
537	2	80151896	7430
532	5	40075360	3715
537	5	120226213	11131
535	2	80144694	7426
532	3	40074430	3715
530	2	40079087	3713
535	5	40075225	3709
532	3	40077348	3712
535	3	40075229	3712
537	2	120220860	11142
539	2	40087505	3715
537	2	120217079	11137
535	2	120227081	11141
537	2	160300686	14851
535	2	120222694	11141
537	2	40082008	3715
535	2	40075754	3711
537	2	160296823	14850
541	4	40075602	3711
544	3	40077327	3715
541	3	40072354	3716
539	2	40072782	3716
537	2	40085363	3713
539	2	40072811	3713
541	2	160298339	14847
544	3	40078881	3713
546	2	40071153	3712
544	2	40075923	3712
541	3	40078574	3716
544	3	40075735	3713
539	5	280521340	25989
541	2	40084301	3715
539	2	40069265	3711
537	2	40071809	3715
539	2	80152936	7426
543	4	40077015	3711
541	2	40073010	3714
544	3	80147980	7427
541	3	120230271	11139
539	2	120230310	11138
544	5	40065972	3709
541	3	120228935	11141
543	2	40077717	3717
541	2	40075788	3712
552	11	40074389	3714
535	17	40077334	3715
537	2	40062816	3713
532	5	40080016	3715
533	1	40080231	3715
530	3	40076817	3715
535	5	80150286	7428
533	2	40073319	3710
537	4	80143646	7425
535	2	40079823	3714
530	5	40068809	3721
533	3	40083199	3725
532	1	40072233	3716
533	1	40074628	3718
530	3	40077000	3715
535	5	80145771	7422
537	2	40078024	3714
535	2	80151183	7429
533	2	40073161	3715
537	4	80150214	7431
535	2	40083012	3717
537	2	80152708	7431
535	2	200364614	18563
537	2	40079128	3713
539	2	40071159	3711
537	2	80149778	7425
535	2	40078459	3712
537	2	40075183	3711
533	4	40076803	3710
535	2	40071275	3711
533	2	40078418	3715
535	2	120223338	11124
532	3	40083724	3715
535	3	80152689	7425
533	2	40062979	3712
535	2	40083008	3716
537	2	80150195	7427
535	2	40075643	3711
537	2	40072991	3715
535	2	40069780	3712
532	3	40079446	3712
535	3	40077227	3711
533	2	40076319	3715
535	2	40076475	3716
532	3	40077294	3722
535	3	40071580	3719
533	2	40079633	3716
532	1	40072628	3714
533	1	40071887	3712
530	3	80154620	7428
532	2	40075888	3712
537	5	40075530	3713
535	2	80149200	7424
537	2	80151087	7425
535	2	40074885	3712
548	13	40076136	3712
541	7	40066090	3712
546	5	40087579	3710
544	2	40070740	3710
541	3	80147150	7425
544	3	40082440	3715
541	3	40066138	3710
544	3	40080131	3712
541	3	80152413	7424
544	3	160294297	14849
541	3	80153078	7427
543	2	160299625	14850
546	3	80158173	7426
541	5	120219246	11135
539	2	80153130	7431
541	2	40072211	3715
543	2	40075565	3714
541	2	40081155	3716
543	2	40068958	3714
541	2	80150186	7420
537	4	40077532	3712
539	2	40076749	3715
541	2	40075987	3714
548	7	40073967	3715
543	5	80149785	7421
541	2	40080990	3711
548	7	40064927	3712
541	7	40079365	3714
545	4	40071349	3713
537	8	40080110	3711
546	9	40077172	3714
539	7	40071262	3713
548	9	40076940	3716
546	2	40076325	3713
552	6	80141300	7425
550	2	40079182	3713
546	4	40077893	3713
550	4	40074270	3713
546	4	40077513	3712
548	2	40075584	3713
537	11	40079395	3713
541	4	40073011	3713
539	2	80144644	7422
537	2	40075690	3712
535	2	40076145	3712
537	2	160296699	14849
535	2	40079954	3715
539	4	40074801	3718
537	2	80145490	7424
535	2	40080518	3716
537	2	120228911	11140
535	2	80136555	7423
533	2	80166143	7424
532	1	80140632	7424
535	3	40087711	3716
541	6	40068872	3714
535	6	40073802	3712
537	2	40074725	3711
535	2	40079438	3714
537	2	40069282	3711
535	2	40077100	3716
541	6	40078924	3715
535	6	40072505	3713
537	2	40079274	3718
535	2	80142855	7434
533	2	80154606	7434
532	1	40078248	3713
535	3	40076318	3710
537	2	40074978	3714
540	3	40067876	3713
539	1	40080272	3715
535	4	40074423	3716
533	2	40080770	3713
535	2	40068950	3713
530	5	40081947	3714
532	2	40068358	3712
535	3	80146955	7425
537	2	40078567	3711
539	2	40074172	3714
535	4	40079590	3714
533	2	80154173	7441
535	2	80150587	7431
537	2	40067374	3712
539	2	40084260	3717
537	2	80147931	7423
535	2	80144810	7425
530	5	40080120	3711
535	5	40074014	3712
537	2	80152540	7429
535	2	40073940	3715
533	2	40069263	3713
535	2	80150924	7429
532	3	40074448	3712
535	3	40084844	3715
532	3	40062277	3710
530	2	40078700	3715
533	3	40074443	3715
530	3	40076671	3713
532	2	40074795	3709
535	3	40083292	3715
533	2	40070957	3710
532	1	40074216	3711
537	5	40074096	3712
535	2	80151261	7426
533	2	40067329	3712
526	7	80163846	7430
528	2	80151003	7427
530	2	120223330	11140
528	2	40073167	3711
526	2	120218629	11140
528	2	40080406	3717
530	2	40075809	3713
528	2	40079857	3718
530	2	80147659	7433
528	2	40069661	3709
526	2	80149261	7427
524	2	40077510	3713
526	2	40080828	3713
528	2	40075306	3712
532	4	40069059	3710
530	2	40077104	3713
533	3	40071684	3715
530	3	80153548	7428
528	2	40080696	3710
524	4	40076174	3711
526	2	40078858	3711
528	2	80149831	7429
526	2	40067161	3713
530	4	40082091	3722
528	2	40070647	3713
526	2	40078532	3716
528	2	40056795	3713
530	2	40094391	3716
528	2	40064091	3710
530	2	40083977	3710
533	3	80144892	7423
528	5	40073977	3711
526	2	120230607	11139
528	2	80147841	7426
526	2	80160628	7427
530	4	40064680	3710
526	4	40079010	3714
528	2	40070224	3714
530	2	40082200	3713
535	5	80153053	7432
533	2	40066056	3712
528	5	160303682	14849
530	2	80147175	7426
532	2	40081125	3710
528	4	40067421	3709
526	2	40080109	3712
528	2	160303571	14855
530	2	80152938	7426
532	2	80148633	7423
530	2	40074637	3714
528	2	40079192	3715
526	2	40067209	3709
528	2	80151387	7424
530	2	40073711	3711
528	2	40073174	3712
535	7	40079300	3717
533	2	40080018	3716
530	3	40078393	3712
528	2	120221447	11135
530	2	120221799	11137
533	3	40071713	3714
532	1	40082604	3711
530	2	40067187	3710
528	2	40085453	3709
526	2	120230779	11140
530	4	80143351	7427
528	2	40076985	3716
530	2	40069463	3714
528	2	40081702	3715
526	2	160300418	14859
528	2	80154398	7422
526	2	40061932	3716
528	2	40088510	3716
526	2	120211840	11142
528	2	120232246	11136
530	2	80151466	7430
532	2	80153882	7425
535	3	40072409	3709
533	2	120227911	11141
530	3	80147139	7424
532	2	40067903	3710
530	2	40080823	3717
528	2	40072013	3713
530	2	40082751	3712
532	2	40068343	3712
530	2	40085903	3712
528	2	80145963	7423
533	5	80151752	7427
530	3	80153291	7425
535	5	40065683	3714
533	2	40079493	3715
532	1	40072620	3713
528	4	80150402	7423
530	2	160302176	14856
535	5	80153154	7424
533	2	120221566	11140
528	5	120227686	11145
530	2	40077142	3716
528	2	40071689	3711
526	2	120233038	11140
528	2	40066020	3711
526	2	40081294	3714
528	2	120221845	11147
530	2	320598098	29703
528	2	40088016	3713
530	2	120218128	11136
528	2	40076556	3712
530	2	40067708	3712
526	4	120234758	11142
528	2	40071408	3713
530	2	40074831	3718
528	2	40071353	3712
530	2	40078630	3712
533	3	40075737	3711
530	3	40073430	3711
528	2	80156580	7428
526	2	40075716	3712
530	4	80148391	7425
528	2	40075475	3713
530	2	80152940	7423
528	2	120224157	11140
530	2	40079308	3713
528	2	80146299	7429
530	2	80147547	7426
528	2	120222724	11139
526	2	40081446	3715
528	2	40075180	3712
530	2	80147360	7424
528	2	80146006	7422
526	2	120233260	11149
524	2	40071470	3714
528	4	40076142	3711
526	2	40081460	3714
528	2	160298699	14851
526	2	40079464	3715
528	2	40062792	3714
530	2	40086389	3714
533	3	80145071	7426
532	1	40076171	3709
528	4	80146144	7426
526	2	160301557	14857
528	2	40074796	3711
526	2	40075544	3713
528	2	120232493	11135
526	2	40074907	3714
522	4	40072704	3713
526	4	40076786	3714
528	2	240450565	22279
526	2	40078667	3715
524	2	80147162	7425
526	2	40076622	3713
530	4	40079151	3712
528	2	40069421	3713
530	2	40074007	3711
533	3	40076515	3714
528	5	80152723	7424
526	2	40071086	3714
528	2	80153813	7427
530	2	40072312	3714
528	2	80149806	7423
526	2	40078650	3715
524	2	80149277	7425
526	2	40074274	3715
528	2	40082183	3717
526	2	40067720	3710
528	2	200380255	18565
526	2	40065190	3711
528	2	40086702	3715
526	2	40069035	3716
528	2	240456101	22275
539	11	40076138	3713
528	11	160297945	14853
530	2	120221400	11142
528	2	40080624	3711
530	2	40069374	3711
532	2	40075925	3714
530	2	40072665	3712
528	2	160301578	14857
524	4	40086934	3713
526	2	40067029	3710
528	2	40079686	3712
530	2	80148440	7427
528	2	40075493	3715
530	2	40078932	3714
537	7	40063945	3710
530	7	40087083	3715
528	2	40066360	3712
530	2	80153397	7427
528	2	40075563	3713
530	2	40075771	3711
533	3	40080647	3717
535	2	80143877	7434
530	5	120229292	11149
528	2	40071876	3711
530	2	200373400	18558
533	3	80157509	7426
528	5	80141048	7405
